ticker
AAPL
MSFT
AMZN
GOOGL
META
NVDA
TSLA
JPM
JNJ
V
PG
UNH
HD
MA
DIS
NFLX
PFE
KO
PEP
CSCO
INTC
MRK
ABT
WMT
CRM
ORCL
ADBE
ACN
COST
TMO
NKE
LLY
MCD
TXN
QCOM
AMD
LOW
SBUX
GS
BLK
